Ticker,Time,Millisec,LastPrice,Volume,BidVolume1,BidPrice1,AskVolume1,AskPrice1
IF1502,11:30:00,100,3413,237153,12,3412.8,46,3414
IF1502,11:30:00,100,3413,237153,12,3412.8,46,3414
IF1502,11:30:00,100,3413,237153,12,3412.8,46,3414
IF1502,13:00:00,100,3413,237153,12,3412.8,46,3414
IF1502,13:00:00,600,3406,237419,34,3406,32,3408
IF1502,13:00:01,100,3406.8,237542,7,3406.6,34,3406.8
IF1502,13:00:01,600,3406.8,237611,1,3405.8,8,3406
IF1502,13:00:02,100,3406.2,237642,4,3406.8,1,3407
IF1502,13:00:02,600,3407,237665,47,3407,4,3407.4
IF1502,13:00:03,100,3408.2,237680,1,3408,5,3408.2
IF1502,13:00:03,600,3407.8,237696,1,3407.8,3,3408
IF1502,13:00:04,100,3408,237704,2,3407.8,1,3408
IF1502,13:00:04,600,3408,237715,7,3407.8,3,3408
IF1502,13:00:05,100,3407,237751,8,3407,7,3407.4
IF1502,13:00:05,600,3406,237787,1,3406,29,3406.2
IF1502,13:00:06,100,3405,237818,4,3405,50,3405.2
IF1502,13:00:06,600,3404.4,237841,2,3404.4,1,3404.6
IF1502,13:00:07,100,3402.4,237897,2,3402.2,6,3402.8
IF1502,13:00:07,600,3402.4,237903,7,3402.4,7,3402.6
IF1502,13:00:08,100,3401.2,237952,6,3401,3,3401.2
IF1502,13:00:08,600,3400.6,237968,1,3400.2,2,3400.6
IF1502,13:00:09,100,3400.2,237971,14,3400,6,3400.4
IF1502,13:00:09,600,3398,238044,41,3397.8,1,3398
IF1502,13:00:10,100,3399.2,238166,50,3399,4,3399.2
IF1502,13:00:10,600,3400.4,238210,15,3400.2,12,3400.4
IF1502,13:00:11,100,3401,238230,2,3401,9,3401.4
IF1502,13:00:11,600,3401.6,238244,9,3401.2,7,3401.6
IF1502,13:00:12,100,3401.6,238257,4,3401.2,16,3401.8
IF1502,13:00:12,600,3401.6,238269,2,3401.8,9,3402
IF1502,13:00:13,100,3401.6,238281,14,3401.2,1,3401.4
IF1502,13:00:13,600,3401.6,238313,6,3401.6,1,3401.8
IF1502,13:00:14,100,3403.2,238358,2,3403.4,9,3403.6
IF1502,13:00:14,600,3403.2,238368,1,3403.2,5,3403.6
IF1502,13:00:15,100,3403.4,238377,3,3403.2,5,3403.4
IF1502,13:00:15,600,3403.6,238406,9,3403.6,4,3404
IF1502,13:00:16,100,3403.4,238423,6,3403,1,3403.2
IF1502,13:00:16,600,3403.2,238427,6,3403,6,3403.4
IF1502,13:00:17,100,3403.4,238452,13,3403.4,9,3403.6
IF1502,13:00:17,600,3403.8,238468,10,3403.4,11,3404
IF1502,13:00:18,100,3403.8,238476,8,3403.8,4,3404
IF1502,13:00:18,600,3404.2,238492,10,3404,8,3404.2
IF1502,13:00:19,100,3404,238509,2,3403.8,10,3404
IF1502,13:00:19,600,3404,238513,8,3403.8,14,3404.2
IF1502,13:00:20,100,3404.4,238537,1,3404.2,2,3404.4
IF1502,13:00:20,600,3404.6,238542,6,3404.2,8,3404.6
IF1502,13:00:21,100,3404.6,238559,10,3404.6,3,3404.8
IF1502,13:00:21,600,3404.6,238566,16,3404.6,12,3405
IF1502,13:00:22,100,3404.8,238578,10,3404.6,3,3404.8
IF1502,13:00:22,600,3404.8,238599,6,3404.4,7,3404.8
IF1502,13:00:23,100,3405,238612,5,3404.8,20,3405
IF1502,13:00:23,600,3405,238620,21,3404.8,10,3405
IF1502,13:00:24,100,3404.8,238640,26,3404.8,4,3405.2
IF1502,13:00:24,600,3405,238661,6,3404.8,4,3405
IF1502,13:00:25,100,3405,238664,14,3404.8,18,3405.2
IF1502,13:00:25,600,3405,238674,3,3405,13,3405.2
IF1502,13:00:26,100,3404.8,238690,1,3404.8,8,3405
